epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2624,1.15679,2.96873,1.39515,0.00608,0.91176,0.39257,0.29475,0.98507,3.15197,1.02615,0.00014,0.00014,0.00014
2,100.601,1.09429,2.83513,1.2864,0.00608,0.91176,0.3669,0.21289,1.4045,3.62862,1.2761,0.00029406,0.00029406,0.00029406
3,146.414,1.11464,2.63733,1.32564,0.00588,0.88235,0.43123,0.32813,1.51422,3.31433,1.45495,0.000441784,0.000441784,0.000441784
4,191.892,1.1188,2.34345,1.29576,0.00627,0.94118,0.49668,0.33934,1.3842,3.27599,1.23649,0.000583172,0.000583172,0.000583172
5,237.472,1.08296,2.16029,1.2846,0.00588,0.88235,0.37028,0.22758,1.31294,3.40021,1.32286,0.000718224,0.000718224,0.000718224
6,283.544,1.04795,1.88099,1.28184,0.44454,0.26471,0.30607,0.2171,1.18246,2.84056,1.28309,0.00084694,0.00084694,0.00084694
7,331.133,1.06501,1.8587,1.27426,0.64203,0.31683,0.41958,0.31462,1.20855,2.64907,1.18694,0.00096932,0.00096932,0.00096932
8,376.898,0.98171,1.87703,1.18555,0.69103,0.58824,0.48048,0.40814,1.01982,2.90089,1.14275,0.00108536,0.00108536,0.00108536
9,422.48,1.07988,1.87162,1.24655,0.54613,0.29412,0.35753,0.20913,1.15748,2.47734,1.24634,0.00119507,0.00119507,0.00119507
10,467.805,1.16475,1.94561,1.27435,0.33287,0.35294,0.28262,0.16889,1.07145,2.41965,1.16421,0.00129844,0.00129844,0.00129844
11,513.693,1.10835,1.89638,1.26257,0.48444,0.46983,0.36829,0.23889,1.17957,2.35566,1.16384,0.00139548,0.00139548,0.00139548
12,560.514,1.07226,1.76796,1.27442,0.50384,0.71696,0.51249,0.35411,1.10083,2.1038,1.11627,0.00148618,0.00148618,0.00148618
13,605.619,1.13876,1.92456,1.33156,0.46463,0.67647,0.48717,0.38266,0.78508,2.13469,1.07169,0.0015248,0.0015248,0.0015248
14,650.756,1.02601,1.72723,1.24729,0.32867,0.52941,0.3999,0.30353,0.82721,2.12243,1.15223,0.0014852,0.0014852,0.0014852
15,695.787,1.01119,1.61908,1.22622,0.41767,0.52941,0.36696,0.23315,0.97619,2.41672,1.17573,0.0014456,0.0014456,0.0014456
16,740.937,1.00032,1.73913,1.20325,0.54652,0.47059,0.40752,0.28067,1.06193,2.56726,1.16045,0.001406,0.001406,0.001406
17,785.897,0.83434,1.59011,1.12386,0.61992,0.62377,0.56663,0.40931,0.87029,1.86272,1.07414,0.0013664,0.0013664,0.0013664
18,831.005,1.04821,1.64443,1.28982,0.51735,0.76471,0.51485,0.35239,0.77261,1.99735,1.04444,0.0013268,0.0013268,0.0013268
19,876.244,1.03169,1.6059,1.24891,0.47314,0.79241,0.54198,0.36756,0.69835,1.89684,1.01769,0.0012872,0.0012872,0.0012872
20,921.815,0.92549,1.5506,1.15558,0.53782,0.76471,0.5693,0.43568,0.81076,1.95201,1.0129,0.0012476,0.0012476,0.0012476
21,967.106,0.89559,1.6195,1.13694,0.679,0.73529,0.69021,0.52256,0.76329,1.8106,1.02222,0.001208,0.001208,0.001208
22,1012.56,0.87885,1.50492,1.10226,0.65642,0.79412,0.6865,0.54557,0.79317,1.87504,1.00952,0.0011684,0.0011684,0.0011684
23,1057.7,0.90814,1.51188,1.21007,0.65245,0.77314,0.7027,0.55704,0.94392,2.18877,1.05505,0.0011288,0.0011288,0.0011288
24,1102.94,0.984,1.53064,1.22659,0.66757,0.76789,0.66505,0.48873,1.07942,2.25185,1.1415,0.0010892,0.0010892,0.0010892
25,1149.06,0.98246,1.53138,1.18332,0.68055,0.70588,0.66863,0.44629,1.00133,1.883,1.18606,0.0010496,0.0010496,0.0010496
26,1194.34,0.80329,1.46306,1.10753,0.61868,0.73529,0.64627,0.43146,0.93109,1.7588,1.21509,0.00101,0.00101,0.00101
27,1239.86,0.84134,1.46518,1.18135,0.62439,0.73529,0.62199,0.39924,0.92667,1.73485,1.24107,0.0009704,0.0009704,0.0009704
28,1285.66,0.85003,1.45154,1.15612,0.61361,0.73529,0.64306,0.42489,0.88082,1.61981,1.25317,0.0009308,0.0009308,0.0009308
29,1330.48,0.80593,1.39793,1.09927,0.61693,0.75802,0.63727,0.41668,0.77479,1.5391,1.24004,0.0008912,0.0008912,0.0008912
30,1375.31,0.88293,1.61916,1.19744,0.63243,0.76471,0.61461,0.38977,0.8189,1.46102,1.21608,0.0008516,0.0008516,0.0008516
31,1420.16,0.79273,1.29568,1.08632,0.64382,0.74447,0.64251,0.44956,0.76136,1.43638,1.13917,0.000812,0.000812,0.000812
32,1464.96,0.80141,1.38149,1.13033,0.672,0.73529,0.64749,0.44072,0.78012,1.5916,1.10807,0.0007724,0.0007724,0.0007724
33,1510.03,0.82333,1.3334,1.08303,0.67819,0.64706,0.61127,0.43964,0.7865,1.70171,1.1034,0.0007328,0.0007328,0.0007328
34,1555.3,0.76139,1.27822,1.15515,0.67622,0.64706,0.56514,0.40371,0.73671,1.75295,1.09859,0.0006932,0.0006932,0.0006932
35,1600.56,0.86329,1.20163,1.18783,0.69044,0.59046,0.60866,0.42773,0.70686,1.72161,1.089,0.0006536,0.0006536,0.0006536
36,1645.44,0.80214,1.3752,1.1354,0.62456,0.70588,0.66621,0.45014,0.72034,1.6185,1.09592,0.000614,0.000614,0.000614
37,1690.5,0.80353,1.29643,1.11814,0.64487,0.74788,0.66281,0.43587,0.71484,1.53039,1.08917,0.0005744,0.0005744,0.0005744
38,1736.67,0.88649,1.41129,1.19805,0.7118,0.70588,0.63685,0.41116,0.73626,1.45712,1.09372,0.0005348,0.0005348,0.0005348
39,1782.25,0.76412,1.22938,1.07437,0.68845,0.70588,0.63565,0.41026,0.75745,1.40888,1.08328,0.0004952,0.0004952,0.0004952
40,1827.54,0.80577,1.38758,1.12711,0.76357,0.66515,0.63899,0.42071,0.72791,1.35958,1.06911,0.0004556,0.0004556,0.0004556
41,1872.39,0.73991,1.4616,1.07254,0.65913,0.76471,0.64599,0.43602,0.71593,1.34932,1.05962,0.000416,0.000416,0.000416
42,1917.18,0.75621,1.56933,1.06051,0.67037,0.73529,0.66688,0.4667,0.69138,1.29596,1.04902,0.0003764,0.0003764,0.0003764
43,1961.81,0.64408,1.37611,1.03873,0.64242,0.73986,0.68045,0.46582,0.66699,1.36749,1.03229,0.0003368,0.0003368,0.0003368
44,2006.58,0.74732,1.43083,1.11341,0.66725,0.76675,0.66925,0.46987,0.63974,1.4146,1.02089,0.0002972,0.0002972,0.0002972
